org_id,icnptso_code,icnptso_code_probability,icnptso_code_source
GB-COH-06126779,F20,0.414,ml_model
GB-COH-06129620,H10,0.879,ml_model
GB-COH-06130305,F20,0.395,ml_model
GB-COH-06130408,A90,0.366,ml_model
GB-COH-06130431,A11,1.0,ml_model
GB-COH-06130470,L50,0.996,ml_model
GB-COH-06134342,F20,0.999,ml_model
GB-COH-06134485,H10,0.509,ml_model
GB-COH-06134536,A12,0.951,ml_model
GB-COH-06140365,F20,1.0,ml_model
GB-COH-06140451,F20,0.287,ml_model
GB-COH-06143003,A11,1.0,ml_model
GB-COH-06143069,D13,1.0,ml_model
GB-COH-06144063,F30,0.999,ml_model
GB-COH-06145278,D13,0.919,ml_model
GB-COH-06146100,A11,0.984,ml_model
GB-COH-06146182,F20,0.999,ml_model
GB-COH-06146613,F20,1.0,ml_model
GB-COH-06146673,A11,0.991,ml_model
GB-COH-06147562,B31,0.998,ml_model
GB-COH-06147563,G11,0.791,ml_model
GB-COH-06147565,D13,1.0,ml_model
GB-COH-06149171,F20,0.973,ml_model
GB-COH-06156158,D31,0.9,ml_model
GB-COH-06156467,A90,0.315,ml_model
GB-COH-06156629,A11,1.0,ml_model
GB-COH-06157306,G14,0.556,ml_model
GB-COH-06162064,F20,0.515,ml_model
GB-COH-06162104,H10,0.595,ml_model
GB-COH-06162132,B31,0.91,ml_model
GB-COH-06166375,F20,0.874,ml_model
GB-COH-06166419,F20,0.961,ml_model
GB-COH-06166427,A21,1.0,ml_model
GB-COH-06168891,F20,0.999,ml_model
GB-COH-06169583,F30,1.0,ml_model
GB-COH-06173862,A11,1.0,ml_model
GB-COH-06176933,F20,0.929,ml_model
GB-COH-06176996,D13,0.155,ml_model
GB-COH-06177065,D19,0.865,ml_model
GB-COH-06177332,F20,0.999,ml_model
GB-COH-06181046,A11,0.806,ml_model
GB-COH-06181144,F20,0.966,ml_model
GB-COH-06181200,A11,1.0,ml_model
GB-COH-06181346,H10,0.524,ml_model
GB-COH-06181377,B31,1.0,ml_model
